PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI_Bucket
25.28,54.59,4.93,9.65,9.24,12.44,0.72,8.7,19.64,Satisfactory
19.68,45.57,2.06,6.63,5.2,8.44,0.69,5.86,14.34,Satisfactory
24.4,70.25,5.01,10.84,9.84,10.27,0.74,7.4,13.13,Satisfactory
20.05,79.5,4.17,13.54,10.69,9.77,0.65,10.35,34.29,Satisfactory
23.72,55.74,4.18,8.86,8.18,10.54,0.81,6.71,19.29,Satisfactory
26.12,56.77,4.8,11.71,10.14,9.83,0.5,6.88,14.32,Satisfactory
7.16,26.39,3.86,5.22,5.99,8.62,0.59,6.62,14.29,Good
7.97,33.2,4.26,6.48,7.0,8.66,0.61,6.01,11.52,Good
6.48,23.83,2.39,3.54,3.83,8.32,0.47,5.97,11.63,Good
7.2,34.11,3.7,5.73,6.14,7.23,0.5,7.01,18.9,Good
8.27,27.27,3.72,5.86,6.14,6.04,0.53,6.69,7.51,Good
9.21,27.62,2.67,3.26,3.9,6.59,0.44,6.91,11.95,Good
19.78,49.86,3.0,4.9,5.14,6.3,0.66,7.64,23.67,Satisfactory
8.85,30.54,2.7,3.86,4.26,5.01,0.36,5.44,20.73,Good
18.48,62.52,3.36,12.71,9.5,6.68,0.76,7.38,17.57,Satisfactory
11.04,38.34,3.76,5.11,5.87,6.78,0.48,6.21,16.31,Good
9.74,33.83,3.94,4.84,5.87,5.66,0.66,7.51,12.65,Satisfactory
10.35,30.98,3.51,5.55,5.81,4.43,1.01,5.38,7.55,Satisfactory
22.81,53.85,3.12,6.96,6.33,5.76,0.8,7.09,34.26,Satisfactory
28.54,56.36,4.29,22.75,15.68,8.96,0.85,7.28,32.62,Satisfactory
18.46,39.45,3.59,14.17,10.55,12.76,0.49,6.37,30.3,Satisfactory
23.9,37.71,4.65,26.74,18.01,12.69,0.56,6.01,12.46,Good
14.42,36.29,3.41,6.9,6.44,7.77,0.43,9.19,35.44,Satisfactory
